location,city,country,address,latitude,longitude,co2_kg,distance_km,plane trips_amount,train trips_amount,country,number,total,sum
"Stockholm,  Sweden",Stockholm, Sweden,"Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden",59.3251172,18.0710935,0,0,0,1, Sweden,10,0,1017686.141
"Helsinki,  Finland",Helsinki, Finland,"Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, Finland",60.1674881,24.9427473,23.681,792.008,0,1, Finland,2,47.362,1017.686141
"Oslo,  Norway",Oslo, Norway,"Oslo, Norway",59.9133301,10.7389701,24.952,834.525,0,1, Norway,5,124.76,
"Copenhagen,  Denmark",Copenhagen, Denmark,"Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1357, Denmark",55.6867243,12.5700724,261.34,1041.722,1,0, Denmark,6,1568.04,
"Warsaw,  Poland",Warsaw, Poland,"Warsaw, Masovian Voivodeship, Poland",52.2319581,21.0067249,371.634,1619.21,1,0, Poland,3,1114.902,
"Berlin,  Germany",Berlin, Germany,"Berlin, 10117, Germany",52.5170365,13.3888599,372.093,1621.611,1,0, Germany,62,23069.766,
"Prague,  Czechia",Prague, Czechia,"Prague, Czechia",50.0596288,14.446459273258,450.276,2111.771,1,0, Czechia,1,450.276,
"Amsterdam,  Netherlands",Amsterdam, Netherlands,"Amsterdam, North Holland, Netherlands, 1012JS, Netherlands",52.3727598,4.8936041,466.407,2250.309,1,0, Netherlands,17,7928.919,
"Vienna,  Austria",Vienna, Austria,"Vienna, Austria",48.2083537,16.3725042,493.398,2482.112,1,0, Austria,6,2960.388,
"Bratislava,  Slovakia",Bratislava, Slovakia,"Bratislava, Region of Bratislava, Slovakia",48.1516988,17.1093063,494.085,2488.01,1,0, Slovakia,1,494.085,
"Brussels,  Belgium",Brussels, Belgium,"Brussels, City of Brussels, Brussels-Capital, Belgium",50.8465573,4.351697,502.502,2560.297,1,0, Belgium,5,2512.51,
"London,  United Kingdom",London, United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474,540.244,2865.349,1,0, United Kingdom,36,19448.784,
"Paris,  France",Paris, France,"Paris, Ile-de-France, Metropolitan France, France",48.8566969,2.3514616,579.146,3086.73,1,0, France,23,13320.358,
"Bern,  Switzerland",Bern, Switzerland,"Bern, Bern-Mittelland administrative district, Bernese Mittelland administrative region, Bern, Switzerland",46.9482713,7.4514512,579.214,3087.114,1,0, Switzerland,1,579.214,
"Dublin,  Ireland",Dublin, Ireland,"Dublin, Dublin 1, Leinster, Ireland",53.3497645,-6.2602732,608.992,3256.57,1,0, Ireland,1,608.992,
"Bucharest,  Romania",Bucharest, Romania,"Bucharest, Romania",44.4361414,26.1027202,648.949,3483.953,1,0, Romania,1,648.949,
"Rome,  Italy",Rome, Italy,"Rome, Roma Capitale, Lazio, Italy",41.8933203,12.4829321,731.321,3952.704,1,0, Italy,30,21939.63,
"Ankara,  Turkey",Ankara, Turkey,"Ankara, Çankaya, Ankara, Central Anatolia Region, 06420, Turkey",39.9207893,32.8540412,878.43,4787.332,1,0, Turkey,4,3513.72,
"Athens,  Greece",Athens, Greece,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 10667, Greece",37.9839412,23.7283052,883.204,4814.174,1,0, Greece,4,3532.816,
"Madrid,  Spain",Madrid, Spain,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain",40.4167047,-3.7035825,949.273,5185.62,1,0, Spain,31,29427.463,
"Algiers,  Algeria",Algiers, Algeria,"Algiers, Central Algiers, Sidi M'Hamed District, Algiers, 16007, Algeria",36.7753606,3.0601882,998,5459.565,1,0, Algeria,1,998,
"Lisbon,  Portugal",Lisbon, Portugal,"Lisbon, Grande Lisboa, Área Metropolitana de Lisboa, Portugal",38.7077507,-9.1365919,1090.443,5979.284,1,0, Portugal,8,8723.544,
"Baku,  Azerbaijan",Baku, Azerbaijan,"Baku, Absheron, Azerbaijan",40.3754434,49.8326748,1111.808,6099.401,1,0, Azerbaijan,1,1111.808,
"Jerusalem,  Israel",Jerusalem, Israel,"Jerusalem, Jerusalem Subdistrict, Jerusalem District, Israel",31.79592425,35.211980759695,1206.83,6633.621,1,0, Israel,2,2413.66,
"Cairo,  Egypt",Cairo, Egypt,"Cairo, Cairo Governorate, Egypt",30.0443879,31.2357257,1223.996,6807.995,1,0, Egypt,1,1223.996,
"Tehran,  Iran",Tehran, Iran,"Tehran, بخش مرکزی شهرستان تهران, Tehran County, Tehran Province, Iran",35.6892523,51.3896004,1225.187,7117.529,1,0, Iran,1,1225.187,
"Islamabad,  Pakistan",Islamabad, Pakistan,"Islamabad, Islamabad Capital Territory, 44000, Pakistan",33.6938118,73.0651511,1608.76,9761.471,1,0, Pakistan,3,4826.28,
