location,city,country,address,latitude,longitude,co2_kg,distance_km,plane trips_amount,train trips_amount,country,number,total,sum,
"Ottawa,  Canada",Ottawa, Canada,"Ottawa, (Old) Ottawa, Ottawa, Eastern Ontario, Ontario, K2P 1B7, Canada",45.4121213,-75.6902639,342.407,1466.18,1,0, Canada,14,4793.698,1287087.997,in kg
"Washington,  United States",Washington, United States,"Washington, D.C., Cypress Gardens, Polk County, Florida, United States",27.99124005,-81.6909167645698,503.99,2573.079,1,0, United States,106,53422.94,1287.087997,in tonnes
"Port-au-Prince,  Haiti",Port-au-Prince, Haiti,"Port-au-Prince, West, Haiti",18.547327,-72.3395928,847.79,4615.071,1,0, Haiti,1,847.79,,
"Mexico City,  Mexico",Mexico City, Mexico,"Mexico City, Mexico",19.4326296,-99.1331785,1105.147,6061.952,1,0, Mexico,8,8841.176,,
"Bogota,  Colombia",Bogota, Colombia,"Bogota, Bogota Capital District, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652,1266.204,7638.302,1,0, Colombia,3,3798.612,,
"Dublin,  Ireland",Dublin, Ireland,"Dublin, Dublin 1, Leinster, Ireland",53.3497645,-6.2602732,1790.17,10885.855,1,0, Ireland,1,1790.17,,
"Lima,  Peru",Lima, Peru,"Lima, Province of Lima, Lima Metropolitan Area, Lima, Peru",-12.0621065,-77.0365256,1862.21,11332.358,1,0, Peru,1,1862.21,,
"Lisbon,  Portugal",Lisbon, Portugal,"Lisbon, Grande Lisboa, Área Metropolitana de Lisboa, Portugal",38.7077507,-9.1365919,1885.272,11475.296,1,0, Portugal,8,15082.176,,
"London,  United Kingdom",London, United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474,1937.177,11797.004,1,0, United Kingdom,36,69738.372,,
"Brazil, Brazil",Brazil,Brazil,Brazil,-10.3333333,-53.2,1971.518,12009.849,1,0,Brazil,8,15772.144,,
"Madrid,  Spain",Madrid, Spain,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain",40.4167047,-3.7035825,1998.564,12177.481,1,0, Spain,31,61955.484,,
"Paris,  France",Paris, France,"Paris, Ile-de-France, Metropolitan France, France",48.8566969,2.3514616,2023.359,12331.165,1,0, France,23,46537.257,,
"Amsterdam,  Netherlands",Amsterdam, Netherlands,"Amsterdam, North Holland, Netherlands, 1012JS, Netherlands",52.3727598,4.8936041,2031.218,12379.873,1,0, Netherlands,1,2031.218,,
"Brussels,  Belgium",Brussels, Belgium,"Brussels, City of Brussels, Brussels-Capital, Belgium",50.8465573,4.351697,2039.936,12433.904,1,0, Belgium,5,10199.68,,
"Oslo,  Norway",Oslo, Norway,"Oslo, Norway",59.9133301,10.7389701,2045.016,12465.391,1,0, Norway,5,10225.08,,
"Copenhagen,  Denmark",Copenhagen, Denmark,"Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1357, Denmark",55.6867243,12.5700724,2134.941,13022.753,1,0, Denmark,6,12809.646,,
"Bern,  Switzerland",Bern, Switzerland,"Bern, Bern-Mittelland administrative district, Bernese Mittelland administrative region, Bern, Switzerland",46.9482713,7.4514512,2163.19,13197.837,1,0, Switzerland,1,2163.19,,
"Stockholm,  Sweden",Stockholm, Sweden,"Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden",59.3251172,18.0710935,2175.53,13274.324,1,0, Sweden,10,21755.3,,
"Berlin,  Germany",Berlin, Germany,"Berlin, 10117, Germany",52.5170365,13.3888599,2199.142,13420.671,1,0, Germany,62,136346.804,,
"Algiers,  Algeria",Algiers, Algeria,"Algiers, Central Algiers, Sidi M'Hamed District, Algiers, 16007, Algeria",36.7753606,3.0601882,2226.516,13590.336,1,0, Algeria,1,2226.516,,
"Prague,  Czechia",Prague, Czechia,"Prague, Czechia",50.0596288,14.446459273258,2260.738,13802.441,1,0, Czechia,1,2260.738,,
"Helsinki,  Finland",Helsinki, Finland,"Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, Finland",60.1674881,24.9427473,2270.399,13862.324,1,0, Finland,2,4540.798,,
"Vienna,  Austria",Vienna, Austria,"Vienna, Austria",48.2083537,16.3725042,2332.652,14248.166,1,0, Austria,6,13995.912,,
"Bratislava,  Slovakia",Bratislava, Slovakia,"Bratislava, Region of Bratislava, Slovakia",48.1516988,17.1093063,2348.876,14348.725,1,0, Slovakia,1,2348.876,,
"Warsaw,  Poland",Warsaw, Poland,"Warsaw, Masovian Voivodeship, Poland",52.2319581,21.0067249,2350.099,14356.302,1,0, Poland,3,7050.297,,
